Clube,Ano,R19,R38,ID
Atlético-PR,2006,14,13,Atlético-PR2006
Botafogo,2006,17,12,Botafogo2006
Corinthians,2006,18,9,Corinthians2006
Cruzeiro,2006,8,10,Cruzeiro2006
Figueirense,2006,9,7,Figueirense2006
Flamengo,2006,13,11,Flamengo2006
Fluminense,2006,6,15,Fluminense2006
Fortaleza,2006,19,18,Fortaleza2006
Goiás,2006,16,8,Goiás2006
Grêmio,2006,5,3,Grêmio2006
Internacional,2006,2,2,Internacional2006
Juventude,2006,12,14,Juventude2006
Palmeiras,2006,10,16,Palmeiras2006
Paraná,2006,4,5,Paraná2006
Ponte Preta,2006,15,17,Ponte Preta2006
Santa Cruz,2006,20,20,Santa Cruz2006
Santos,2006,3,4,Santos2006
São Caetano,2006,11,19,São Caetano2006
São Paulo,2006,1,1,São Paulo2006
Vasco,2006,7,6,Vasco2006
América-RN,2007,20,20,América-RN2007
Atlético-MG,2007,14,8,Atlético-MG2007
Atlético-PR,2007,17,12,Atlético-PR2007
Botafogo,2007,2,9,Botafogo2007
Corinthians,2007,13,17,Corinthians2007
Cruzeiro,2007,3,5,Cruzeiro2007
Figueirense,2007,16,13,Figueirense2007
Flamengo,2007,7,3,Flamengo2007
Fluminense,2007,12,4,Fluminense2007
Goiás,2007,6,16,Goiás2007
Grêmio,2007,8,6,Grêmio2007
Internacional,2007,10,11,Internacional2007
Juventude,2007,19,18,Juventude2007
Náutico,2007,18,15,Náutico2007
Palmeiras,2007,5,7,Palmeiras2007
Paraná,2007,15,19,Paraná2007
Santos,2007,9,2,Santos2007
São Paulo,2007,1,1,São Paulo2007
Sport,2007,11,14,Sport2007
Vasco,2007,4,10,Vasco2007
Atlético-MG,2008,12,12,Atlético-MG2008
Atlético-PR,2008,16,13,Atlético-PR2008
Botafogo,2008,8,7,Botafogo2008
Coritiba,2008,6,9,Coritiba2008
Cruzeiro,2008,2,3,Cruzeiro2008
Figueirense,2008,11,17,Figueirense2008
Flamengo,2008,7,5,Flamengo2008
Fluminense,2008,19,14,Fluminense2008
Goiás,2008,13,8,Goiás2008
Grêmio,2008,1,2,Grêmio2008
Internacional,2008,10,6,Internacional2008
Ipatinga,2008,20,20,Ipatinga2008
Náutico,2008,15,16,Náutico2008
Palmeiras,2008,3,4,Palmeiras2008
Portuguesa,2008,14,19,Portuguesa2008
Santos,2008,18,15,Santos2008
São Paulo,2008,4,1,São Paulo2008
Sport,2008,9,11,Sport2008
Vasco,2008,17,18,Vasco2008
Vitória,2008,5,10,Vitória2008
Atlético-MG,2009,5,7,Atlético-MG2009
Atlético-PR,2009,13,14,Atlético-PR2009
Avaí,2009,6,6,Avaí2009
Botafogo,2009,15,15,Botafogo2009
Corinthians,2009,9,10,Corinthians2009
Coritiba,2009,16,17,Coritiba2009
Cruzeiro,2009,14,4,Cruzeiro2009
Flamengo,2009,7,1,Flamengo2009
Fluminense,2009,19,16,Fluminense2009
Goiás,2009,3,9,Goiás2009
Grêmio,2009,8,8,Grêmio2009
Grêmio Barueri,2009,10,11,Grêmio Barueri2009
Internacional,2009,1,2,Internacional2009
Náutico,2009,18,19,Náutico2009
Palmeiras,2009,2,5,Palmeiras2009
Santo André,2009,17,18,Santo André2009
Santos,2009,11,12,Santos2009
São Paulo,2009,4,3,São Paulo2009
Sport,2009,20,20,Sport2009
Vitória,2009,12,13,Vitória2009
Atlético-GO,2010,19,16,Atlético-GO2010
Atlético-MG,2010,18,13,Atlético-MG2010
Atlético-PR,2010,8,7,Atlético-PR2010
Avaí,2010,13,15,Avaí2010
Botafogo,2010,5,5,Botafogo2010
Ceará,2010,11,12,Ceará2010
Corinthians,2010,2,2,Corinthians2010
Cruzeiro,2010,6,3,Cruzeiro2010
Flamengo,2010,14,14,Flamengo2010
Fluminense,2010,1,1,Fluminense2010
Goiás,2010,20,19,Goiás2010
Grêmio,2010,16,4,Grêmio2010
Grêmio Prudente,2010,17,20,Grêmio Prudente2010
Guarani,2010,9,18,Guarani2010
Internacional,2010,4,6,Internacional2010
Palmeiras,2010,12,10,Palmeiras2010
Santos,2010,3,8,Santos2010
São Paulo,2010,10,9,São Paulo2010
Vasco,2010,7,11,Vasco2010
Vitória,2010,15,17,Vitória2010
América-MG,2011,20,19,América-MG2011
Atlético-GO,2011,12,13,Atlético-GO2011
Atlético-MG,2011,19,15,Atlético-MG2011
Atlético-PR,2011,17,17,Atlético-PR2011
Avaí,2011,18,20,Avaí2011
Bahia,2011,16,14,Bahia2011
Botafogo,2011,5,9,Botafogo2011
Ceará,2011,13,18,Ceará2011
Corinthians,2011,1,1,Corinthians2011
Coritiba,2011,9,8,Coritiba2011
Cruzeiro,2011,7,16,Cruzeiro2011
Figueirense,2011,10,7,Figueirense2011
Flamengo,2011,2,4,Flamengo2011
Fluminense,2011,11,3,Fluminense2011
Grêmio,2011,14,12,Grêmio2011
Internacional,2011,8,5,Internacional2011
Palmeiras,2011,6,11,Palmeiras2011
Santos,2011,15,10,Santos2011
São Paulo,2011,3,6,São Paulo2011
Vasco,2011,4,2,Vasco2011
Atlético-GO,2012,18,19,Atlético-GO2012
Atlético-MG,2012,1,2,Atlético-MG2012
Bahia,2012,16,15,Bahia2012
Botafogo,2012,8,7,Botafogo2012
Corinthians,2012,12,6,Corinthians2012
Coritiba,2012,15,13,Coritiba2012
Cruzeiro,2012,9,9,Cruzeiro2012
Figueirense,2012,20,20,Figueirense2012
Flamengo,2012,7,11,Flamengo2012
Fluminense,2012,2,1,Fluminense2012
Grêmio,2012,3,3,Grêmio2012
Internacional,2012,6,10,Internacional2012
Náutico,2012,11,12,Náutico2012
Palmeiras,2012,17,18,Palmeiras2012
Ponte Preta,2012,13,14,Ponte Preta2012
Portuguesa,2012,14,16,Portuguesa2012
Santos,2012,10,8,Santos2012
São Paulo,2012,5,4,São Paulo2012
Sport,2012,19,17,Sport2012
Vasco,2012,4,5,Vasco2012
Atlético-MG,2013,10,8,Atlético-MG2013
Atlético-PR,2013,4,3,Atlético-PR2013
Bahia,2013,14,14,Bahia2013
Botafogo,2013,2,4,Botafogo2013
Corinthians,2013,5,10,Corinthians2013
Coritiba,2013,8,13,Coritiba2013
Criciúma,2013,12,16,Criciúma2013
Cruzeiro,2013,1,1,Cruzeiro2013
Flamengo,2013,16,11,Flamengo2013
Fluminense,2013,15,17,Fluminense2013
Goiás,2013,9,6,Goiás2013
Grêmio,2013,3,2,Grêmio2013
Internacional,2013,6,15,Internacional2013
Náutico,2013,20,20,Náutico2013
Ponte Preta,2013,19,19,Ponte Preta2013
Portuguesa,2013,17,12,Portuguesa2013
Santos,2013,7,7,Santos2013
São Paulo,2013,18,9,São Paulo2013
Vasco,2013,11,18,Vasco2013
Vitória,2013,13,5,Vitória2013
Atlético-MG,2014,7,5,Atlético-MG2014
Atlético-PR,2014,11,8,Atlético-PR2014
Bahia,2014,19,18,Bahia2014
Botafogo,2014,12,19,Botafogo2014
Chapecoense,2014,15,15,Chapecoense2014
Corinthians,2014,4,4,Corinthians2014
Coritiba,2014,18,14,Coritiba2014
Criciúma,2014,17,20,Criciúma2014
Cruzeiro,2014,1,1,Cruzeiro2014
Figueirense,2014,13,13,Figueirense2014
Flamengo,2014,10,10,Flamengo2014
Fluminense,2014,5,6,Fluminense2014
Goiás,2014,14,12,Goiás2014
Grêmio,2014,6,7,Grêmio2014
Internacional,2014,3,3,Internacional2014
Palmeiras,2014,16,16,Palmeiras2014
Santos,2014,9,9,Santos2014
São Paulo,2014,2,2,São Paulo2014
Sport,2014,8,11,Sport2014
Vitória,2014,20,17,Vitória2014
Atlético Mineiro,2015,2,2,Atlético Mineiro2015
Atlético Paranaense,2015,8,10,Atlético Paranaense2015
Avaí,2015,16,17,Avaí2015
Chapecoense,2015,9,14,Chapecoense2015
Corinthians,2015,1,1,Corinthians2015
Coritiba,2015,18,15,Coritiba2015
Cruzeiro,2015,14,8,Cruzeiro2015
Figueirense,2015,15,16,Figueirense2015
Flamengo,2015,13,12,Flamengo2015
Fluminense,2015,4,13,Fluminense2015
Goiás,2015,17,19,Goiás2015
Grêmio,2015,3,3,Grêmio2015
Internacional,2015,11,5,Internacional2015
Joinville,2015,19,20,Joinville2015
Palmeiras,2015,5,9,Palmeiras2015
Ponte Preta,2015,10,11,Ponte Preta2015
Santos,2015,12,7,Santos2015
São Paulo,2015,6,4,São Paulo2015
Sport,2015,7,6,Sport2015
Vasco da Gama,2015,20,18,Vasco da Gama2015
América-MG,2016,20,20,América-MG2016
Athletico-PR,2016,7,6,Athletico-PR2016
Atlético-MG,2016,2,4,Atlético-MG2016
Botafogo,2016,13,5,Botafogo2016
Chapecoense,2016,11,10,Chapecoense2016
Corinthians,2016,3,7,Corinthians2016
Coritiba,2016,16,15,Coritiba2016
Cruzeiro,2016,18,12,Cruzeiro2016
Figueirense,2016,17,18,Figueirense2016
Flamengo,2016,4,3,Flamengo2016
Fluminense,2016,8,13,Fluminense2016
Grêmio,2016,6,9,Grêmio2016
Internacional,2016,14,17,Internacional2016
Palmeiras,2016,1,1,Palmeiras2016
Ponte Preta,2016,9,8,Ponte Preta2016
Santa Cruz,2016,19,19,Santa Cruz2016
Santos,2016,5,2,Santos2016
São Paulo,2016,10,11,São Paulo2016
Sport,2016,12,14,Sport2016
Vitória,2016,15,16,Vitória2016
Athletico-PR,2017,8,11,Athletico-PR2017
Atlético-GO,2017,20,20,Atlético-GO2017
Atlético-MG,2017,15,9,Atlético-MG2017
Avaí,2017,19,18,Avaí2017
Bahia,2017,13,12,Bahia2017
Botafogo,2017,11,10,Botafogo2017
Chapecoense,2017,16,8,Chapecoense2017
Corinthians,2017,1,1,Corinthians2017
Coritiba,2017,10,17,Coritiba2017
Cruzeiro,2017,7,5,Cruzeiro2017
Flamengo,2017,5,6,Flamengo2017
Fluminense,2017,9,14,Fluminense2017
Grêmio,2017,2,4,Grêmio2017
Palmeiras,2017,4,2,Palmeiras2017
Ponte Preta,2017,14,19,Ponte Preta2017
Santos,2017,3,3,Santos2017
São Paulo,2017,17,13,São Paulo2017
Sport,2017,6,15,Sport2017
Vasco da Gama,2017,12,7,Vasco da Gama2017
Vitória,2017,18,16,Vitória2017
América-MG,2018,11,17,América-MG2018
Athletico-PR,2018,13,7,Athletico-PR2018
Atlético-MG,2018,5,6,Atlético-MG2018
Bahia,2018,9,11,Bahia2018
Botafogo,2018,12,9,Botafogo2018
Ceará,2018,19,15,Ceará2018
Chapecoense,2018,16,14,Chapecoense2018
Corinthians,2018,7,13,Corinthians2018
Cruzeiro,2018,8,8,Cruzeiro2018
Flamengo,2018,3,2,Flamengo2018
Fluminense,2018,10,12,Fluminense2018
Grêmio,2018,4,4,Grêmio2018
Internacional,2018,2,3,Internacional2018
Palmeiras,2018,6,1,Palmeiras2018
Paraná,2018,20,20,Paraná2018
Santos,2018,14,10,Santos2018
São Paulo,2018,1,5,São Paulo2018
Sport,2018,17,18,Sport2018
Vasco da Gama,2018,15,16,Vasco da Gama2018
Vitória,2018,18,19,Vitória2018
Athletico-PR,2019,11,5,Athletico-PR2019
Atlético-MG,2019,9,13,Atlético-MG2019
Avaí,2019,20,20,Avaí2019
Bahia,2019,7,11,Bahia2019
Botafogo,2019,10,15,Botafogo2019
Ceará,2019,13,16,Ceará2019
Chapecoense,2019,19,19,Chapecoense2019
Corinthians,2019,5,8,Corinthians2019
Cruzeiro,2019,17,17,Cruzeiro2019
CSA,2019,18,18,CSA2019
Flamengo,2019,1,1,Flamengo2019
Fluminense,2019,16,14,Fluminense2019
Fortaleza,2019,14,9,Fortaleza2019
Goiás,2019,15,10,Goiás2019
Grêmio,2019,8,4,Grêmio2019
Internacional,2019,4,7,Internacional2019
Palmeiras,2019,2,3,Palmeiras2019
Santos,2019,3,2,Santos2019
São Paulo,2019,6,6,São Paulo2019
Vasco da Gama,2019,12,12,Vasco da Gama2019
