"Clube","Ano","R19","R38","ID"
"América-RN",2006,12,4,"América-RN2006"
"Atlético-MG",2006,6,1,"Atlético-MG2006"
"Avaí",2006,4,13,"Avaí2006"
"Brasiliense",2006,8,8,"Brasiliense2006"
"Ceará",2006,20,15,"Ceará2006"
"Coritiba",2006,1,6,"Coritiba2006"
"CRB",2006,5,16,"CRB2006"
"Gama",2006,13,11,"Gama2006"
"Guarani",2006,14,18,"Guarani2006"
"Ituano",2006,16,10,"Ituano2006"
"Marília",2006,7,9,"Marília2006"
"Náutico",2006,2,3,"Náutico2006"
"Paulista",2006,9,5,"Paulista2006"
"Paysandu",2006,11,17,"Paysandu2006"
"Portuguesa",2006,17,14,"Portuguesa2006"
"Remo",2006,19,12,"Remo2006"
"Santo André",2006,10,7,"Santo André2006"
"São Raimundo",2006,18,19,"São Raimundo2006"
"Sport",2006,3,2,"Sport2006"
"Vila Nova",2006,15,20,"Vila Nova2006"
"Avaí",2007,15,15,"Avaí2007"
"Barueri",2007,10,13,"Barueri2007"
"Brasiliense",2007,6,9,"Brasiliense2007"
"Ceará",2007,12,16,"Ceará2007"
"Coritiba",2007,2,1,"Coritiba2007"
"CRB",2007,5,8,"CRB2007"
"Criciúma",2007,1,7,"Criciúma2007"
"Fortaleza",2007,11,5,"Fortaleza2007"
"Gama",2007,13,12,"Gama2007"
"Ipatinga",2007,9,2,"Ipatinga2007"
"Ituano",2007,20,20,"Ituano2007"
"Marília",2007,3,6,"Marília2007"
"Paulista",2007,16,17,"Paulista2007"
"Ponte Preta",2007,8,11,"Ponte Preta2007"
"Portuguesa",2007,7,3,"Portuguesa2007"
"Remo",2007,19,19,"Remo2007"
"Santa Cruz",2007,17,18,"Santa Cruz2007"
"Santo André",2007,18,14,"Santo André2007"
"São Caetano",2007,14,10,"São Caetano2007"
"Vitória",2007,4,4,"Vitória2007"
"ABC",2008,12,13,"ABC2008"
"América-RN",2008,17,15,"América-RN2008"
"Avaí",2008,2,3,"Avaí2008"
"Bahia",2008,8,10,"Bahia2008"
"Barueri",2008,6,4,"Barueri2008"
"Bragantino",2008,11,7,"Bragantino2008"
"Brasiliense",2008,19,14,"Brasiliense2008"
"Ceará",2008,7,12,"Ceará2008"
"Corinthians",2008,1,1,"Corinthians2008"
"CRB",2008,20,20,"CRB2008"
"Criciúma",2008,15,18,"Criciúma2008"
"Fortaleza",2008,16,16,"Fortaleza2008"
"Gama",2008,13,19,"Gama2008"
"Juventude",2008,9,8,"Juventude2008"
"Marília",2008,14,17,"Marília2008"
"Paraná",2008,18,11,"Paraná2008"
"Ponte Preta",2008,4,5,"Ponte Preta2008"
"Santo André",2008,3,2,"Santo André2008"
"São Caetano",2008,10,9,"São Caetano2008"
"Vila Nova",2008,5,6,"Vila Nova2008"
"ABC",2009,19,20,"ABC2009"
"América-RN",2009,14,16,"América-RN2009"
"Atlético-GO",2009,2,4,"Atlético-GO2009"
"Bahia",2009,12,12,"Bahia2009"
"Bragantino",2009,8,9,"Bragantino2009"
"Brasiliense",2009,10,14,"Brasiliense2009"
"Campinense",2009,20,19,"Campinense2009"
"Ceará",2009,4,3,"Ceará2009"
"Duque de Caxias",2009,15,8,"Duque de Caxias2009"
"Figueirense",2009,7,6,"Figueirense2009"
"Fortaleza",2009,17,18,"Fortaleza2009"
"Guarani",2009,3,2,"Guarani2009"
"Ipatinga",2009,13,15,"Ipatinga2009"
"Juventude",2009,18,17,"Juventude2009"
"Paraná",2009,11,10,"Paraná2009"
"Ponte Preta",2009,6,11,"Ponte Preta2009"
"Portuguesa",2009,9,5,"Portuguesa2009"
"São Caetano",2009,5,7,"São Caetano2009"
"Vasco",2009,1,1,"Vasco2009"
"Vila Nova",2009,16,13,"Vila Nova2009"
"América-MG",2010,6,4,"América-MG2010"
"América-RN",2010,19,20,"América-RN2010"
"ASA",2010,15,9,"ASA2010"
"Bahia",2010,4,3,"Bahia2010"
"Bragantino",2010,16,8,"Bragantino2010"
"Brasiliense",2010,14,17,"Brasiliense2010"
"Coritiba",2010,3,1,"Coritiba2010"
"Duque de Caxias",2010,12,11,"Duque de Caxias2010"
"Figueirense",2010,1,2,"Figueirense2010"
"Guaratinguetá",2010,7,15,"Guaratinguetá2010"
"Icasa",2010,10,12,"Icasa2010"
"Ipatinga",2010,20,19,"Ipatinga2010"
"Náutico",2010,5,13,"Náutico2010"
"Paraná",2010,13,7,"Paraná2010"
"Ponte Preta",2010,2,14,"Ponte Preta2010"
"Portuguesa",2010,8,5,"Portuguesa2010"
"Santo André",2010,17,18,"Santo André2010"
"São Caetano",2010,9,10,"São Caetano2010"
"Sport",2010,11,6,"Sport2010"
"Vila Nova",2010,18,16,"Vila Nova2010"
"ABC",2011,14,10,"ABC2011"
"Americana",2011,4,8,"Americana2011"
"ASA",2011,10,16,"ASA2011"
"Boa",2011,11,7,"Boa2011"
"Bragantino",2011,15,6,"Bragantino2011"
"Criciúma",2011,8,14,"Criciúma2011"
"Duque de Caxias",2011,20,20,"Duque de Caxias2011"
"Goiás",2011,6,11,"Goiás2011"
"Grêmio Barueri",2011,12,9,"Grêmio Barueri2011"
"Guarani",2011,18,12,"Guarani2011"
"Icasa",2011,13,17,"Icasa2011"
"Náutico",2011,3,2,"Náutico2011"
"Paraná",2011,7,13,"Paraná2011"
"Ponte Preta",2011,2,3,"Ponte Preta2011"
"Portuguesa",2011,1,1,"Portuguesa2011"
"Salgueiro",2011,19,19,"Salgueiro2011"
"São Caetano",2011,17,15,"São Caetano2011"
"Sport",2011,5,4,"Sport2011"
"Vila Nova",2011,16,18,"Vila Nova2011"
"Vitória",2011,9,5,"Vitória2011"
"ABC",2012,16,12,"ABC2012"
"América-MG",2012,8,8,"América-MG2012"
"América-RN",2012,7,9,"América-RN2012"
"ASA",2012,14,13,"ASA2012"
"Atlético-PR",2012,6,3,"Atlético-PR2012"
"Avaí",2012,9,7,"Avaí2012"
"Boa",2012,12,15,"Boa2012"
"Bragantino",2012,18,14,"Bragantino2012"
"Ceará",2012,10,11,"Ceará2012"
"CRB",2012,15,17,"CRB2012"
"Criciúma",2012,2,2,"Criciúma2012"
"Goiás",2012,5,1,"Goiás2012"
"Grêmio Barueri",2012,20,20,"Grêmio Barueri2012"
"Guarani",2012,13,18,"Guarani2012"
"Guaratinguetá",2012,17,16,"Guaratinguetá2012"
"Ipatinga",2012,19,19,"Ipatinga2012"
"Joinville",2012,3,6,"Joinville2012"
"Paraná",2012,11,10,"Paraná2012"
"São Caetano",2012,4,5,"São Caetano2012"
"Vitória",2012,1,4,"Vitória2012"
"ABC",2013,20,14,"ABC2013"
"América-MG",2013,10,9,"América-MG2013"
"América-RN",2013,19,13,"América-RN2013"
"ASA",2013,13,20,"ASA2013"
"Atlético-GO",2013,16,16,"Atlético-GO2013"
"Avaí",2013,7,10,"Avaí2013"
"Boa",2013,6,11,"Boa2013"
"Bragantino",2013,11,12,"Bragantino2013"
"Ceará",2013,12,7,"Ceará2013"
"Chapecoense",2013,2,2,"Chapecoense2013"
"Figueirense",2013,8,4,"Figueirense2013"
"Guaratinguetá",2013,15,17,"Guaratinguetá2013"
"Icasa",2013,9,5,"Icasa2013"
"Joinville",2013,5,6,"Joinville2013"
"Oeste",2013,14,15,"Oeste2013"
"Palmeiras",2013,1,1,"Palmeiras2013"
"Paraná",2013,3,8,"Paraná2013"
"Paysandu",2013,18,18,"Paysandu2013"
"São Caetano",2013,17,19,"São Caetano2013"
"Sport",2013,4,3,"Sport2013"
"ABC",2014,14,14,"ABC2014"
"América-MG",2014,3,5,"América-MG2014"
"América-RN",2014,15,17,"América-RN2014"
"Atlético-GO",2014,13,7,"Atlético-GO2014"
"Avaí",2014,2,4,"Avaí2014"
"Boa",2014,10,6,"Boa2014"
"Bragantino",2014,16,16,"Bragantino2014"
"Ceará",2014,1,8,"Ceará2014"
"Icasa",2014,17,18,"Icasa2014"
"Joinville",2014,4,1,"Joinville2014"
"Luverdense",2014,8,12,"Luverdense2014"
"Náutico",2014,11,13,"Náutico2014"
"Oeste",2014,18,15,"Oeste2014"
"Paraná",2014,12,11,"Paraná2014"
"Ponte Preta",2014,6,2,"Ponte Preta2014"
"Portuguesa",2014,19,20,"Portuguesa2014"
"Sampaio Corrêa",2014,9,10,"Sampaio Corrêa2014"
"Santa Cruz",2014,7,9,"Santa Cruz2014"
"Vasco",2014,5,3,"Vasco2014"
"Vila Nova",2014,20,19,"Vila Nova2014"
"ABC",2015,18,18,"ABC2015"
"América-MG",2015,3,4,"América-MG2015"
"Atlético-GO",2015,15,14,"Atlético-GO2015"
"Bahia",2015,4,9,"Bahia2015"
"Boa",2015,16,19,"Boa2015"
"Botafogo",2015,2,1,"Botafogo2015"
"Bragantino",2015,10,6,"Bragantino2015"
"Ceará",2015,20,15,"Ceará2015"
"CRB",2015,11,11,"CRB2015"
"Criciúma",2015,9,12,"Criciúma2015"
"Luverdense",2015,17,10,"Luverdense2015"
"Macaé",2015,13,17,"Macaé2015"
"Mogi Mirim",2015,19,20,"Mogi Mirim2015"
"Náutico",2015,5,5,"Náutico2015"
"Oeste",2015,12,16,"Oeste2015"
"Paraná",2015,14,13,"Paraná2015"
"Paysandu",2015,7,7,"Paysandu2015"
"Sampaio Corrêa",2015,6,8,"Sampaio Corrêa2015"
"Santa Cruz",2015,8,2,"Santa Cruz2015"
"Vitória",2015,1,3,"Vitória2015"
"Atlético-GO",2016,4,1,"Atlético-GO2016"
"Avaí",2016,15,2,"Avaí2016"
"Bahia",2016,10,4,"Bahia2016"
"Bragantino",2016,16,19,"Bragantino2016"
"Brasil",2016,5,11,"Brasil2016"
"Ceará",2016,2,10,"Ceará2016"
"CRB",2016,3,7,"CRB2016"
"Criciúma",2016,8,8,"Criciúma2016"
"Goiás",2016,17,13,"Goiás2016"
"Joinville",2016,19,17,"Joinville2016"
"Londrina",2016,7,6,"Londrina2016"
"Luverdense",2016,14,9,"Luverdense2016"
"Náutico",2016,6,5,"Náutico2016"
"Oeste",2016,12,16,"Oeste2016"
"Paraná",2016,9,15,"Paraná2016"
"Paysandu",2016,13,14,"Paysandu2016"
"Sampaio Corrêa",2016,20,20,"Sampaio Corrêa2016"
"Tupi",2016,18,18,"Tupi2016"
"Vasco",2016,1,3,"Vasco2016"
"Vila Nova",2016,11,12,"Vila Nova2016"
"ABC",2017,19,19,"ABC2017"
"América-MG",2017,1,1,"América-MG2017"
"Boa",2017,8,10,"Boa2017"
"Brasil",2017,13,8,"Brasil2017"
"Ceará",2017,4,3,"Ceará2017"
"CRB",2017,7,15,"CRB2017"
"Criciúma",2017,12,13,"Criciúma2017"
"Figueirense",2017,17,12,"Figueirense2017"
"Goiás",2017,14,14,"Goiás2017"
"Guarani",2017,6,16,"Guarani2017"
"Internacional",2017,2,2,"Internacional2017"
"Juventude",2017,5,9,"Juventude2017"
"Londrina",2017,10,5,"Londrina2017"
"Luverdense",2017,18,17,"Luverdense2017"
"Náutico",2017,20,20,"Náutico2017"
"Oeste",2017,11,6,"Oeste2017"
"Paraná",2017,9,4,"Paraná2017"
"Paysandu",2017,15,11,"Paysandu2017"
"Santa Cruz",2017,16,18,"Santa Cruz2017"
"Vila Nova",2017,3,7,"Vila Nova2017"
"Atlético-GO",2018,4,6,"Atlético-GO2018"
"Avaí",2018,7,3,"Avaí2018"
"Boa",2018,20,20,"Boa2018"
"Brasil",2018,16,11,"Brasil2018"
"Coritiba",2018,8,10,"Coritiba2018"
"CRB",2018,18,12,"CRB2018"
"Criciúma",2018,14,14,"Criciúma2018"
"CSA",2018,2,2,"CSA2018"
"Figueirense",2018,6,15,"Figueirense2018"
"Fortaleza",2018,1,1,"Fortaleza2018"
"Goiás",2018,9,4,"Goiás2018"
"Guarani",2018,5,9,"Guarani2018"
"Juventude",2018,13,19,"Juventude2018"
"Londrina",2018,17,8,"Londrina2018"
"Oeste",2018,15,16,"Oeste2018"
"Paysandu",2018,11,17,"Paysandu2018"
"Ponte Preta",2018,10,5,"Ponte Preta2018"
"Sampaio Corrêa",2018,19,18,"Sampaio Corrêa2018"
"São Bento",2018,12,13,"São Bento2018"
"Vila Nova",2018,3,7,"Vila Nova2018"
"América-MG",2019,13,5,"América-MG2019"
"Atlético-GO",2019,3,4,"Atlético-GO2019"
"Botafogo-SP",2019,9,9,"Botafogo-SP2019"
"Bragantino",2019,1,1,"Bragantino2019"
"Brasil",2019,12,14,"Brasil2019"
"Coritiba",2019,2,3,"Coritiba2019"
"CRB",2019,8,7,"CRB2019"
"Criciúma",2019,14,19,"Criciúma2019"
"Cuiabá",2019,5,8,"Cuiabá2019"
"Figueirense",2019,15,16,"Figueirense2019"
"Guarani",2019,20,13,"Guarani2019"
"Londrina",2019,11,17,"Londrina2019"
"Oeste",2019,19,15,"Oeste2019"
"Operário",2019,6,10,"Operário2019"
"Paraná",2019,7,6,"Paraná2019"
"Ponte Preta",2019,10,11,"Ponte Preta2019"
"São Bento",2019,18,18,"São Bento2019"
"Sport",2019,4,2,"Sport2019"
"Vila Nova",2019,17,20,"Vila Nova2019"
"Vitória",2019,16,12,"Vitória2019"
